# Lens 1: fiber d=8.0mm
# r_mm, sag_um
0.000000, 0.0000
0.000147, -0.0000
0.000294, -0.0000
0.000441, -0.0000
0.000588, -0.0000
0.000735, -0.0000
0.000883, -0.0000
0.001030, -0.0000
0.001177, -0.0000
0.001324, -0.0000
0.001471, -0.0000
0.001618, -0.0000
0.001765, -0.0000
0.001912, -0.0000
0.002059, -0.0000
0.002206, -0.0000
0.002354, -0.0000
0.002501, -0.0000
0.002648, -0.0000
0.002795, -0.0001
0.002942, -0.0001
0.003089, -0.0001
0.003236, -0.0001
0.003383, -0.0001
0.003530, -0.0001
0.003677, -0.0001
0.003825, -0.0001
0.003972, -0.0001
0.004119, -0.0001
0.004266, -0.0001
0.004413, -0.0001
0.004560, -0.0001
0.004707, -0.0002
0.004854, -0.0002
0.005001, -0.0002
0.005148, -0.0002
0.005296, -0.0002
0.005443, -0.0002
0.005590, -0.0002
0.005737, -0.0002
0.005884, -0.0002
0.006031, -0.0002
0.006178, -0.0003
0.006325, -0.0003
0.006472, -0.0003
0.006619, -0.0003
0.006767, -0.0003
0.006914, -0.0003
0.007061, -0.0003
0.007208, -0.0004
0.007355, -0.0004
0.007502, -0.0004
0.007649, -0.0004
0.007796, -0.0004
0.007943, -0.0004
0.008090, -0.0004
0.008238, -0.0005
0.008385, -0.0005
0.008532, -0.0005
0.008679, -0.0005
0.008826, -0.0005
0.008973, -0.0005
0.009120, -0.0006
0.009267, -0.0006
0.009414, -0.0006
0.009561, -0.0006
0.009709, -0.0006
0.009856, -0.0007
0.010003, -0.0007
0.010150, -0.0007
0.010297, -0.0007
0.010444, -0.0007
0.010591, -0.0008
0.010738, -0.0008
0.010885, -0.0008
0.011032, -0.0008
0.011180, -0.0008
0.011327, -0.0009
0.011474, -0.0009
0.011621, -0.0009
0.011768, -0.0009
0.011915, -0.0009
0.012062, -0.0010
0.012209, -0.0010
0.012356, -0.0010
0.012503, -0.0010
0.012651, -0.0011
0.012798, -0.0011
0.012945, -0.0011
0.013092, -0.0011
0.013239, -0.0012
0.013386, -0.0012
0.013533, -0.0012
0.013680, -0.0012
0.013827, -0.0013
0.013974, -0.0013
0.014122, -0.0013
0.014269, -0.0014
0.014416, -0.0014
0.014563, -0.0014
0.014710, -0.0014
0.014857, -0.0015
0.015004, -0.0015
0.015151, -0.0015
0.015298, -0.0016
0.015445, -0.0016
0.015593, -0.0016
0.015740, -0.0016
0.015887, -0.0017
0.016034, -0.0017
0.016181, -0.0017
0.016328, -0.0018
0.016475, -0.0018
0.016622, -0.0018
0.016769, -0.0019
0.016916, -0.0019
0.017064, -0.0019
0.017211, -0.0020
0.017358, -0.0020
0.017505, -0.0020
0.017652, -0.0021
0.017799, -0.0021
0.017946, -0.0021
0.018093, -0.0022
0.018240, -0.0022
0.018387, -0.0022
0.018535, -0.0023
0.018682, -0.0023
0.018829, -0.0024
0.018976, -0.0024
0.019123, -0.0024
0.019270, -0.0025
0.019417, -0.0025
0.019564, -0.0025
0.019711, -0.0026
0.019858, -0.0026
0.020006, -0.0027
0.020153, -0.0027
0.020300, -0.0027
0.020447, -0.0028
0.020594, -0.0028
0.020741, -0.0029
0.020888, -0.0029
0.021035, -0.0029
0.021182, -0.0030
0.021329, -0.0030
0.021477, -0.0031
0.021624, -0.0031
0.021771, -0.0031
0.021918, -0.0032
0.022065, -0.0032
0.022212, -0.0033
0.022359, -0.0033
0.022506, -0.0034
0.022653, -0.0034
0.022800, -0.0034
0.022948, -0.0035
0.023095, -0.0035
0.023242, -0.0036
0.023389, -0.0036
0.023536, -0.0037
0.023683, -0.0037
0.023830, -0.0038
0.023977, -0.0038
0.024124, -0.0039
0.024271, -0.0039
0.024419, -0.0039
0.024566, -0.0040
0.024713, -0.0040
0.024860, -0.0041
0.025007, -0.0041
0.025154, -0.0042
0.025301, -0.0042
0.025448, -0.0043
0.025595, -0.0043
0.025742, -0.0044
0.025890, -0.0044
0.026037, -0.0045
0.026184, -0.0045
0.026331, -0.0046
0.026478, -0.0046
0.026625, -0.0047
0.026772, -0.0047
0.026919, -0.0048
0.027066, -0.0048
0.027213, -0.0049
0.027361, -0.0049
0.027508, -0.0050
0.027655, -0.0050
0.027802, -0.0051
0.027949, -0.0052
0.028096, -0.0052
0.028243, -0.0053
0.028390, -0.0053
0.028537, -0.0054
0.028684, -0.0054
0.028832, -0.0055
0.028979, -0.0055
0.029126, -0.0056
0.029273, -0.0057
0.029420, -0.0057
0.029567, -0.0058
0.029714, -0.0058
0.029861, -0.0059
0.030008, -0.0059
0.030155, -0.0060
0.030303, -0.0061
0.030450, -0.0061
0.030597, -0.0062
0.030744, -0.0062
0.030891, -0.0063
0.031038, -0.0063
0.031185, -0.0064
0.031332, -0.0065
0.031479, -0.0065
0.031626, -0.0066
0.031773, -0.0066
0.031921, -0.0067
0.032068, -0.0068
0.032215, -0.0068
0.032362, -0.0069
0.032509, -0.0070
0.032656, -0.0070
0.032803, -0.0071
0.032950, -0.0071
0.033097, -0.0072
0.033244, -0.0073
0.033392, -0.0073
0.033539, -0.0074
0.033686, -0.0075
0.033833, -0.0075
0.033980, -0.0076
0.034127, -0.0077
0.034274, -0.0077
0.034421, -0.0078
0.034568, -0.0079
0.034715, -0.0079
0.034863, -0.0080
0.035010, -0.0081
0.035157, -0.0081
0.035304, -0.0082
0.035451, -0.0083
0.035598, -0.0083
0.035745, -0.0084
0.035892, -0.0085
0.036039, -0.0085
0.036186, -0.0086
0.036334, -0.0087
0.036481, -0.0087
0.036628, -0.0088
0.036775, -0.0089
0.036922, -0.0089
0.037069, -0.0090
0.037216, -0.0091
0.037363, -0.0092
0.037510, -0.0092
0.037657, -0.0093
0.037805, -0.0094
0.037952, -0.0094
0.038099, -0.0095
0.038246, -0.0096
0.038393, -0.0097
0.038540, -0.0097
0.038687, -0.0098
0.038834, -0.0099
0.038981, -0.0100
0.039128, -0.0100
0.039276, -0.0101
0.039423, -0.0102
0.039570, -0.0103
0.039717, -0.0103
0.039864, -0.0104
0.040011, -0.0105
0.040158, -0.0106
0.040305, -0.0106
0.040452, -0.0107
0.040599, -0.0108
0.040747, -0.0109
0.040894, -0.0109
0.041041, -0.0110
0.041188, -0.0111
0.041335, -0.0112
0.041482, -0.0112
0.041629, -0.0113
0.041776, -0.0114
0.041923, -0.0115
0.042070, -0.0116
0.042218, -0.0116
0.042365, -0.0117
0.042512, -0.0118
0.042659, -0.0119
0.042806, -0.0120
0.042953, -0.0120
0.043100, -0.0121
0.043247, -0.0122
0.043394, -0.0123
0.043541, -0.0124
0.043689, -0.0125
0.043836, -0.0125
0.043983, -0.0126
0.044130, -0.0127
0.044277, -0.0128
0.044424, -0.0129
0.044571, -0.0130
0.044718, -0.0130
0.044865, -0.0131
0.045012, -0.0132
0.045160, -0.0133
0.045307, -0.0134
0.045454, -0.0135
0.045601, -0.0136
0.045748, -0.0136
0.045895, -0.0137
0.046042, -0.0138
0.046189, -0.0139
0.046336, -0.0140
0.046483, -0.0141
0.046631, -0.0142
0.046778, -0.0142
0.046925, -0.0143
0.047072, -0.0144
0.047219, -0.0145
0.047366, -0.0146
0.047513, -0.0147
0.047660, -0.0148
0.047807, -0.0149
0.047954, -0.0150
0.048102, -0.0150
0.048249, -0.0151
0.048396, -0.0152
0.048543, -0.0153
0.048690, -0.0154
0.048837, -0.0155
0.048984, -0.0156
0.049131, -0.0157
0.049278, -0.0158
0.049425, -0.0159
0.049573, -0.0160
0.049720, -0.0161
0.049867, -0.0161
0.050014, -0.0162
0.050161, -0.0163
0.050308, -0.0164
0.050455, -0.0165
0.050602, -0.0166
0.050749, -0.0167
0.050896, -0.0168
0.051044, -0.0169
0.051191, -0.0170
0.051338, -0.0171
0.051485, -0.0172
0.051632, -0.0173
0.051779, -0.0174
0.051926, -0.0175
0.052073, -0.0176
0.052220, -0.0177
0.052367, -0.0178
0.052515, -0.0179
0.052662, -0.0180
0.052809, -0.0181
0.052956, -0.0182
0.053103, -0.0183
0.053250, -0.0184
0.053397, -0.0185
0.053544, -0.0186
0.053691, -0.0187
0.053838, -0.0188
0.053986, -0.0189
0.054133, -0.0190
0.054280, -0.0191
0.054427, -0.0192
0.054574, -0.0193
0.054721, -0.0194
0.054868, -0.0195
0.055015, -0.0196
0.055162, -0.0197
0.055309, -0.0198
0.055457, -0.0199
0.055604, -0.0200
0.055751, -0.0201
0.055898, -0.0202
0.056045, -0.0203
0.056192, -0.0204
0.056339, -0.0205
0.056486, -0.0206
0.056633, -0.0207
0.056780, -0.0208
0.056928, -0.0209
0.057075, -0.0210
0.057222, -0.0211
0.057369, -0.0212
0.057516, -0.0213
0.057663, -0.0214
0.057810, -0.0215
0.057957, -0.0216
0.058104, -0.0218
0.058251, -0.0219
0.058399, -0.0220
0.058546, -0.0221
0.058693, -0.0222
0.058840, -0.0223
0.058987, -0.0224
0.059134, -0.0225
0.059281, -0.0226
0.059428, -0.0227
0.059575, -0.0228
0.059722, -0.0229
0.059870, -0.0231
0.060017, -0.0232
0.060164, -0.0233
0.060311, -0.0234
0.060458, -0.0235
0.060605, -0.0236
0.060752, -0.0237
0.060899, -0.0238
0.061046, -0.0239
0.061193, -0.0240
0.061341, -0.0242
0.061488, -0.0243
0.061635, -0.0244
0.061782, -0.0245
0.061929, -0.0246
0.062076, -0.0247
0.062223, -0.0248
0.062370, -0.0250
0.062517, -0.0251
0.062664, -0.0252
0.062812, -0.0253
0.062959, -0.0254
0.063106, -0.0255
0.063253, -0.0256
0.063400, -0.0258
0.063547, -0.0259
0.063694, -0.0260
0.063841, -0.0261
0.063988, -0.0262
0.064135, -0.0263
0.064282, -0.0265
0.064430, -0.0266
0.064577, -0.0267
0.064724, -0.0268
0.064871, -0.0269
0.065018, -0.0270
0.065165, -0.0272
0.065312, -0.0273
0.065459, -0.0274
0.065606, -0.0275
0.065753, -0.0276
0.065901, -0.0277
0.066048, -0.0279
0.066195, -0.0280
0.066342, -0.0281
0.066489, -0.0282
0.066636, -0.0283
0.066783, -0.0285
0.066930, -0.0286
0.067077, -0.0287
0.067224, -0.0288
0.067372, -0.0290
0.067519, -0.0291
0.067666, -0.0292
0.067813, -0.0293
0.067960, -0.0294
0.068107, -0.0296
0.068254, -0.0297
0.068401, -0.0298
0.068548, -0.0299
0.068695, -0.0301
0.068843, -0.0302
0.068990, -0.0303
0.069137, -0.0304
0.069284, -0.0306
0.069431, -0.0307
0.069578, -0.0308
0.069725, -0.0309
0.069872, -0.0311
0.070019, -0.0312
0.070166, -0.0313
0.070314, -0.0314
0.070461, -0.0316
0.070608, -0.0317
0.070755, -0.0318
0.070902, -0.0319
0.071049, -0.0321
0.071196, -0.0322
0.071343, -0.0323
0.071490, -0.0324
0.071637, -0.0326
0.071785, -0.0327
0.071932, -0.0328
0.072079, -0.0330
0.072226, -0.0331
0.072373, -0.0332
0.072520, -0.0333
0.072667, -0.0335
0.072814, -0.0336
0.072961, -0.0337
0.073108, -0.0339
0.073256, -0.0340
0.073403, -0.0341
0.073550, -0.0343
0.073697, -0.0344
0.073844, -0.0345
0.073991, -0.0346
0.074138, -0.0348
0.074285, -0.0349
0.074432, -0.0350
0.074579, -0.0352
0.074727, -0.0353
0.074874, -0.0354
0.075021, -0.0356
0.075168, -0.0357
0.075315, -0.0358
0.075462, -0.0360
0.075609, -0.0361
0.075756, -0.0362
0.075903, -0.0364
0.076050, -0.0365
0.076198, -0.0366
0.076345, -0.0368
0.076492, -0.0369
0.076639, -0.0370
0.076786, -0.0372
0.076933, -0.0373
0.077080, -0.0374
0.077227, -0.0376
0.077374, -0.0377
0.077521, -0.0379
0.077669, -0.0380
0.077816, -0.0381
0.077963, -0.0383
0.078110, -0.0384
0.078257, -0.0385
0.078404, -0.0387
0.078551, -0.0388
0.078698, -0.0390
0.078845, -0.0391
0.078992, -0.0392
0.079140, -0.0394
0.079287, -0.0395
0.079434, -0.0396
0.079581, -0.0398
0.079728, -0.0399
0.079875, -0.0401
0.080022, -0.0402
0.080169, -0.0403
0.080316, -0.0405
0.080463, -0.0406
0.080611, -0.0408
0.080758, -0.0409
0.080905, -0.0410
0.081052, -0.0412
0.081199, -0.0413
0.081346, -0.0415
0.081493, -0.0416
0.081640, -0.0417
0.081787, -0.0419
0.081934, -0.0420
0.082082, -0.0422
0.082229, -0.0423
0.082376, -0.0425
0.082523, -0.0426
0.082670, -0.0427
0.082817, -0.0429
0.082964, -0.0430
0.083111, -0.0432
0.083258, -0.0433
0.083405, -0.0435
0.083553, -0.0436
0.083700, -0.0438
0.083847, -0.0439
0.083994, -0.0440
0.084141, -0.0442
0.084288, -0.0443
0.084435, -0.0445
0.084582, -0.0446
0.084729, -0.0448
0.084876, -0.0449
0.085024, -0.0451
0.085171, -0.0452
0.085318, -0.0454
0.085465, -0.0455
0.085612, -0.0456
0.085759, -0.0458
0.085906, -0.0459
0.086053, -0.0461
0.086200, -0.0462
0.086347, -0.0464
0.086495, -0.0465
0.086642, -0.0467
0.086789, -0.0468
0.086936, -0.0470
0.087083, -0.0471
0.087230, -0.0473
0.087377, -0.0474
0.087524, -0.0476
0.087671, -0.0477
0.087818, -0.0479
0.087966, -0.0480
0.088113, -0.0482
0.088260, -0.0483
0.088407, -0.0485
0.088554, -0.0486
0.088701, -0.0488
0.088848, -0.0489
0.088995, -0.0491
0.089142, -0.0492
0.089289, -0.0494
0.089437, -0.0495
0.089584, -0.0497
0.089731, -0.0498
0.089878, -0.0500
0.090025, -0.0501
0.090172, -0.0503
0.090319, -0.0504
0.090466, -0.0506
0.090613, -0.0507
0.090760, -0.0509
0.090908, -0.0511
0.091055, -0.0512
0.091202, -0.0514
0.091349, -0.0515
0.091496, -0.0517
0.091643, -0.0518
0.091790, -0.0520
0.091937, -0.0521
0.092084, -0.0523
0.092231, -0.0524
0.092379, -0.0526
0.092526, -0.0528
0.092673, -0.0529
0.092820, -0.0531
0.092967, -0.0532
0.093114, -0.0534
0.093261, -0.0535
0.093408, -0.0537
