# Lens 2 (OPL-enforced)
# r_mm, sag_um
0.000000, -0.0000
0.002016, -0.0000
0.004032, -0.0001
0.006047, -0.0003
0.008063, -0.0006
0.010079, -0.0009
0.012095, -0.0013
0.014111, -0.0018
0.016126, -0.0023
0.018142, -0.0030
0.020158, -0.0036
0.022174, -0.0044
0.024189, -0.0053
0.026205, -0.0062
0.028221, -0.0071
0.030237, -0.0082
0.032253, -0.0093
0.034268, -0.0105
0.036284, -0.0118
0.038300, -0.0132
0.040316, -0.0146
0.042331, -0.0161
0.044347, -0.0176
0.046363, -0.0193
0.048379, -0.0210
0.050394, -0.0228
0.052410, -0.0246
0.054426, -0.0266
0.056441, -0.0286
0.058457, -0.0307
0.060473, -0.0328
0.062489, -0.0350
0.064504, -0.0373
0.066520, -0.0397
0.068536, -0.0421
0.070551, -0.0447
0.072567, -0.0472
0.074583, -0.0499
0.076598, -0.0526
0.078614, -0.0555
0.080629, -0.0583
0.082645, -0.0613
0.084661, -0.0643
0.086676, -0.0674
0.088692, -0.0706
0.090707, -0.0738
0.092723, -0.0771
0.094739, -0.0805
0.096754, -0.0840
0.098770, -0.0875
0.100785, -0.0911
0.102801, -0.0948
0.104816, -0.0986
0.106832, -0.1024
0.108847, -0.1063
0.110863, -0.1103
0.112878, -0.1143
0.114894, -0.1184
0.116909, -0.1226
0.118924, -0.1269
0.120940, -0.1312
0.122955, -0.1356
0.124971, -0.1401
0.126986, -0.1447
0.129001, -0.1493
0.131017, -0.1540
0.133032, -0.1588
0.135047, -0.1636
0.137063, -0.1685
0.139078, -0.1735
0.141093, -0.1786
0.143108, -0.1837
0.145124, -0.1890
0.147139, -0.1942
0.149154, -0.1996
0.151169, -0.2050
0.153184, -0.2105
0.155200, -0.2161
0.157215, -0.2218
0.159230, -0.2275
0.161245, -0.2333
0.163260, -0.2391
0.165275, -0.2451
0.167290, -0.2511
0.169305, -0.2572
0.171320, -0.2633
0.173335, -0.2696
0.175350, -0.2759
0.177365, -0.2822
0.179380, -0.2887
0.181395, -0.2952
0.183410, -0.3018
0.185425, -0.3085
0.187440, -0.3152
0.189454, -0.3220
0.191469, -0.3289
0.193484, -0.3359
0.195499, -0.3429
0.197514, -0.3500
0.199528, -0.3572
0.201543, -0.3644
0.203558, -0.3717
0.205572, -0.3791
0.207587, -0.3866
0.209602, -0.3942
0.211616, -0.4018
0.213631, -0.4094
0.215645, -0.4172
0.217660, -0.4250
0.219674, -0.4329
0.221689, -0.4409
0.223703, -0.4490
