# L1 soft-edge 20mm
# r_mm, sag_um
0.000000, 0.0000
0.000143, -0.0000
0.000285, -0.0000
0.000428, -0.0000
0.000570, -0.0000
0.000713, -0.0001
0.000855, -0.0001
0.000998, -0.0001
0.001140, -0.0001
0.001283, -0.0002
0.001425, -0.0002
0.001568, -0.0003
0.001710, -0.0003
0.001853, -0.0004
0.001995, -0.0004
0.002138, -0.0005
0.002280, -0.0006
0.002423, -0.0006
0.002565, -0.0007
0.002708, -0.0008
0.002850, -0.0009
0.002993, -0.0010
0.003135, -0.0011
0.003278, -0.0012
0.003420, -0.0013
0.003563, -0.0014
0.003705, -0.0015
0.003848, -0.0016
0.003990, -0.0017
0.004133, -0.0019
0.004275, -0.0020
0.004418, -0.0021
0.004560, -0.0023
0.004703, -0.0024
0.004845, -0.0025
0.004988, -0.0027
0.005131, -0.0028
0.005273, -0.0030
0.005416, -0.0032
0.005558, -0.0033
0.005701, -0.0035
0.005843, -0.0037
0.005986, -0.0039
0.006128, -0.0041
0.006271, -0.0042
0.006413, -0.0044
0.006556, -0.0046
0.006698, -0.0048
0.006841, -0.0051
0.006983, -0.0053
0.007126, -0.0055
0.007268, -0.0057
0.007411, -0.0059
0.007553, -0.0062
0.007696, -0.0064
0.007838, -0.0066
0.007981, -0.0069
0.008123, -0.0071
0.008266, -0.0074
0.008408, -0.0076
0.008551, -0.0079
0.008693, -0.0081
0.008836, -0.0084
0.008978, -0.0087
0.009121, -0.0090
0.009263, -0.0092
0.009406, -0.0095
0.009548, -0.0098
0.009691, -0.0101
0.009833, -0.0104
0.009976, -0.0107
0.010119, -0.0110
0.010261, -0.0113
0.010404, -0.0117
0.010546, -0.0120
0.010689, -0.0123
0.010831, -0.0126
0.010974, -0.0130
0.011116, -0.0133
0.011259, -0.0136
0.011401, -0.0140
0.011544, -0.0143
0.011686, -0.0147
0.011829, -0.0151
0.011971, -0.0154
0.012114, -0.0158
0.012256, -0.0162
0.012399, -0.0165
0.012541, -0.0169
0.012684, -0.0173
0.012826, -0.0177
0.012969, -0.0181
0.013111, -0.0185
0.013254, -0.0189
0.013396, -0.0193
0.013539, -0.0197
0.013681, -0.0201
0.013824, -0.0206
0.013966, -0.0210
0.014109, -0.0214
0.014251, -0.0218
0.014394, -0.0223
0.014536, -0.0227
0.014679, -0.0232
0.014821, -0.0236
0.014964, -0.0241
0.015107, -0.0245
0.015249, -0.0250
0.015392, -0.0255
0.015534, -0.0259
0.015677, -0.0264
0.015819, -0.0269
0.015962, -0.0274
0.016104, -0.0279
0.016247, -0.0284
0.016389, -0.0289
0.016532, -0.0294
0.016674, -0.0299
0.016817, -0.0304
0.016959, -0.0309
0.017102, -0.0314
0.017244, -0.0320
0.017387, -0.0325
0.017529, -0.0330
0.017672, -0.0336
0.017814, -0.0341
0.017957, -0.0347
0.018099, -0.0352
0.018242, -0.0358
0.018384, -0.0363
0.018527, -0.0369
0.018669, -0.0375
0.018812, -0.0380
0.018954, -0.0386
0.019097, -0.0392
0.019239, -0.0398
0.019382, -0.0404
0.019524, -0.0410
0.019667, -0.0416
0.019809, -0.0422
0.019952, -0.0428
0.020095, -0.0434
0.020237, -0.0440
0.020380, -0.0446
0.020522, -0.0452
