# L1 collimated design OPL=0
# r_mm, sag_um
0.000000, 0.0000
0.000143, -0.0000
0.000285, -0.0000
0.000428, -0.0000
0.000570, -0.0000
0.000713, -0.0001
0.000855, -0.0001
0.000998, -0.0001
0.001140, -0.0001
0.001283, -0.0002
0.001425, -0.0002
0.001568, -0.0003
0.001710, -0.0003
0.001853, -0.0003
0.001995, -0.0004
0.002138, -0.0005
0.002280, -0.0005
0.002423, -0.0006
0.002565, -0.0007
0.002708, -0.0007
0.002850, -0.0008
0.002993, -0.0009
0.003135, -0.0010
0.003278, -0.0011
0.003420, -0.0011
0.003563, -0.0012
0.003705, -0.0013
0.003848, -0.0014
0.003990, -0.0015
0.004133, -0.0017
0.004275, -0.0018
0.004418, -0.0019
0.004560, -0.0020
0.004703, -0.0021
0.004845, -0.0023
0.004988, -0.0024
0.005131, -0.0025
0.005273, -0.0027
0.005416, -0.0028
0.005558, -0.0030
0.005701, -0.0031
0.005843, -0.0033
0.005986, -0.0034
0.006128, -0.0036
0.006271, -0.0038
0.006413, -0.0039
0.006556, -0.0041
0.006698, -0.0043
0.006841, -0.0045
0.006983, -0.0047
0.007126, -0.0049
0.007268, -0.0051
0.007411, -0.0053
0.007553, -0.0055
0.007696, -0.0057
0.007838, -0.0059
0.007981, -0.0061
0.008123, -0.0063
0.008266, -0.0065
0.008408, -0.0067
0.008551, -0.0070
0.008693, -0.0072
0.008836, -0.0074
0.008978, -0.0077
0.009121, -0.0079
0.009263, -0.0082
0.009406, -0.0084
0.009548, -0.0087
0.009691, -0.0089
0.009833, -0.0092
0.009976, -0.0095
0.010119, -0.0097
0.010261, -0.0100
0.010404, -0.0103
0.010546, -0.0106
0.010689, -0.0109
0.010831, -0.0112
0.010974, -0.0115
0.011116, -0.0117
0.011259, -0.0121
0.011401, -0.0124
0.011544, -0.0127
0.011686, -0.0130
0.011829, -0.0133
0.011971, -0.0136
0.012114, -0.0139
0.012256, -0.0143
0.012399, -0.0146
0.012541, -0.0149
0.012684, -0.0153
0.012826, -0.0156
0.012969, -0.0160
0.013111, -0.0163
0.013254, -0.0167
0.013396, -0.0170
0.013539, -0.0174
0.013681, -0.0178
0.013824, -0.0181
0.013966, -0.0185
0.014109, -0.0189
0.014251, -0.0193
0.014394, -0.0196
0.014536, -0.0200
0.014679, -0.0204
0.014821, -0.0208
0.014964, -0.0212
0.015107, -0.0216
0.015249, -0.0220
0.015392, -0.0224
0.015534, -0.0229
0.015677, -0.0233
0.015819, -0.0237
0.015962, -0.0241
0.016104, -0.0246
0.016247, -0.0250
0.016389, -0.0254
0.016532, -0.0259
0.016674, -0.0263
0.016817, -0.0268
0.016959, -0.0272
0.017102, -0.0277
0.017244, -0.0281
0.017387, -0.0286
0.017529, -0.0291
0.017672, -0.0296
0.017814, -0.0300
0.017957, -0.0305
0.018099, -0.0310
0.018242, -0.0315
0.018384, -0.0320
0.018527, -0.0325
0.018669, -0.0330
0.018812, -0.0335
0.018954, -0.0340
0.019097, -0.0345
0.019239, -0.0350
0.019382, -0.0355
0.019524, -0.0360
0.019667, -0.0366
0.019809, -0.0371
0.019952, -0.0376
0.020095, -0.0382
0.020237, -0.0387
0.020380, -0.0393
0.020522, -0.0398
