# PM780 long-throw L1
# r_mm, sag_um
0.000000, 0.0000
0.000162, -0.0000
0.000323, -0.0000
0.000485, -0.0000
0.000646, -0.0000
0.000808, -0.0001
0.000969, -0.0001
0.001131, -0.0001
0.001292, -0.0001
0.001454, -0.0002
0.001615, -0.0002
0.001777, -0.0003
0.001938, -0.0003
0.002100, -0.0004
0.002261, -0.0004
0.002423, -0.0005
0.002584, -0.0006
0.002746, -0.0007
0.002907, -0.0007
0.003069, -0.0008
0.003230, -0.0009
0.003392, -0.0010
0.003553, -0.0011
0.003715, -0.0012
0.003876, -0.0013
0.004038, -0.0014
0.004199, -0.0015
0.004361, -0.0016
0.004522, -0.0018
0.004684, -0.0019
0.004845, -0.0020
0.005007, -0.0021
0.005169, -0.0023
0.005330, -0.0024
0.005492, -0.0026
0.005653, -0.0027
0.005815, -0.0029
0.005976, -0.0031
0.006138, -0.0032
0.006299, -0.0034
0.006461, -0.0036
0.006622, -0.0037
0.006784, -0.0039
0.006945, -0.0041
0.007107, -0.0043
0.007268, -0.0045
0.007430, -0.0047
0.007591, -0.0049
0.007753, -0.0051
0.007914, -0.0053
0.008076, -0.0056
0.008237, -0.0058
0.008399, -0.0060
0.008560, -0.0063
0.008722, -0.0065
0.008883, -0.0067
0.009045, -0.0070
0.009206, -0.0072
0.009368, -0.0075
0.009529, -0.0077
0.009691, -0.0080
0.009852, -0.0083
0.010014, -0.0086
0.010176, -0.0088
0.010337, -0.0091
0.010499, -0.0094
0.010660, -0.0097
0.010822, -0.0100
0.010983, -0.0103
0.011145, -0.0106
0.011306, -0.0109
0.011468, -0.0112
0.011629, -0.0115
0.011791, -0.0119
0.011952, -0.0122
0.012114, -0.0125
0.012275, -0.0128
0.012437, -0.0132
0.012598, -0.0135
0.012760, -0.0139
0.012921, -0.0142
0.013083, -0.0146
0.013244, -0.0149
0.013406, -0.0153
0.013567, -0.0157
0.013729, -0.0161
0.013890, -0.0164
0.014052, -0.0168
0.014213, -0.0172
0.014375, -0.0176
0.014536, -0.0180
0.014698, -0.0184
0.014859, -0.0188
0.015021, -0.0192
0.015183, -0.0196
0.015344, -0.0201
0.015506, -0.0205
0.015667, -0.0209
0.015829, -0.0213
0.015990, -0.0218
0.016152, -0.0222
0.016313, -0.0227
0.016475, -0.0231
0.016636, -0.0236
0.016798, -0.0240
0.016959, -0.0245
0.017121, -0.0250
0.017282, -0.0254
0.017444, -0.0259
0.017605, -0.0264
0.017767, -0.0269
0.017928, -0.0274
0.018090, -0.0279
0.018251, -0.0284
0.018413, -0.0289
0.018574, -0.0294
0.018736, -0.0299
0.018897, -0.0304
0.019059, -0.0309
0.019220, -0.0314
0.019382, -0.0320
0.019543, -0.0325
0.019705, -0.0330
0.019866, -0.0336
0.020028, -0.0341
0.020190, -0.0347
0.020351, -0.0352
0.020513, -0.0358
0.020674, -0.0364
0.020836, -0.0369
0.020997, -0.0375
0.021159, -0.0381
0.021320, -0.0387
0.021482, -0.0393
0.021643, -0.0399
0.021805, -0.0405
0.021966, -0.0411
0.022128, -0.0417
0.022289, -0.0423
0.022451, -0.0429
0.022612, -0.0435
0.022774, -0.0441
0.022935, -0.0448
0.023097, -0.0454
0.023258, -0.0460
0.023420, -0.0467
0.023581, -0.0473
0.023743, -0.0480
0.023904, -0.0486
0.024066, -0.0493
0.024227, -0.0499
0.024389, -0.0506
0.024550, -0.0513
0.024712, -0.0519
0.024873, -0.0526
0.025035, -0.0533
0.025197, -0.0540
0.025358, -0.0547
0.025520, -0.0554
0.025681, -0.0561
0.025843, -0.0568
0.026004, -0.0575
0.026166, -0.0582
0.026327, -0.0589
0.026489, -0.0597
0.026650, -0.0604
0.026812, -0.0611
0.026973, -0.0619
0.027135, -0.0626
0.027296, -0.0634
0.027458, -0.0641
0.027619, -0.0649
0.027781, -0.0656
0.027942, -0.0664
0.028104, -0.0672
0.028265, -0.0679
0.028427, -0.0687
0.028588, -0.0695
0.028750, -0.0703
0.028911, -0.0711
0.029073, -0.0719
0.029234, -0.0727
0.029396, -0.0735
0.029557, -0.0743
0.029719, -0.0751
0.029880, -0.0759
0.030042, -0.0767
0.030204, -0.0776
0.030365, -0.0784
0.030527, -0.0792
0.030688, -0.0801
0.030850, -0.0809
0.031011, -0.0818
0.031173, -0.0826
0.031334, -0.0835
0.031496, -0.0843
0.031657, -0.0852
0.031819, -0.0861
0.031980, -0.0869
0.032142, -0.0878
0.032303, -0.0887
0.032465, -0.0896
0.032626, -0.0905
0.032788, -0.0914
0.032949, -0.0923
0.033111, -0.0932
0.033272, -0.0941
0.033434, -0.0950
0.033595, -0.0959
0.033757, -0.0969
0.033918, -0.0978
0.034080, -0.0987
0.034241, -0.0997
0.034403, -0.1006
0.034564, -0.1016
0.034726, -0.1025
0.034887, -0.1035
0.035049, -0.1044
0.035211, -0.1054
0.035372, -0.1063
0.035534, -0.1073
0.035695, -0.1083
0.035857, -0.1093
0.036018, -0.1103
0.036180, -0.1113
0.036341, -0.1123
0.036503, -0.1132
0.036664, -0.1143
0.036826, -0.1153
0.036987, -0.1163
0.037149, -0.1173
0.037310, -0.1183
0.037472, -0.1193
0.037633, -0.1204
0.037795, -0.1214
0.037956, -0.1224
0.038118, -0.1235
0.038279, -0.1245
0.038441, -0.1256
0.038602, -0.1266
0.038764, -0.1277
0.038925, -0.1288
0.039087, -0.1298
0.039248, -0.1309
0.039410, -0.1320
0.039571, -0.1331
0.039733, -0.1342
0.039894, -0.1353
0.040056, -0.1363
0.040218, -0.1374
0.040379, -0.1386
0.040541, -0.1397
0.040702, -0.1408
0.040864, -0.1419
0.041025, -0.1430
0.041187, -0.1441
0.041348, -0.1453
0.041510, -0.1464
0.041671, -0.1476
0.041833, -0.1487
0.041994, -0.1498
0.042156, -0.1510
0.042317, -0.1522
0.042479, -0.1533
0.042640, -0.1545
0.042802, -0.1557
0.042963, -0.1568
0.043125, -0.1580
0.043286, -0.1592
0.043448, -0.1604
0.043609, -0.1616
0.043771, -0.1628
0.043932, -0.1640
0.044094, -0.1652
0.044255, -0.1664
0.044417, -0.1676
0.044578, -0.1688
0.044740, -0.1701
0.044901, -0.1713
0.045063, -0.1725
0.045225, -0.1738
0.045386, -0.1750
0.045548, -0.1763
0.045709, -0.1775
0.045871, -0.1788
0.046032, -0.1800
0.046194, -0.1813
0.046355, -0.1826
0.046517, -0.1838
0.046678, -0.1851
0.046840, -0.1864
0.047001, -0.1877
0.047163, -0.1890
0.047324, -0.1903
0.047486, -0.1916
0.047647, -0.1929
0.047809, -0.1942
0.047970, -0.1955
0.048132, -0.1968
0.048293, -0.1981
0.048455, -0.1994
0.048616, -0.2008
0.048778, -0.2021
0.048939, -0.2035
0.049101, -0.2048
0.049262, -0.2061
0.049424, -0.2075
0.049585, -0.2089
0.049747, -0.2102
0.049908, -0.2116
0.050070, -0.2130
0.050232, -0.2143
0.050393, -0.2157
0.050555, -0.2171
0.050716, -0.2185
0.050878, -0.2199
0.051039, -0.2213
0.051201, -0.2227
0.051362, -0.2241
0.051524, -0.2255
0.051685, -0.2269
0.051847, -0.2283
0.052008, -0.2297
0.052170, -0.2312
0.052331, -0.2326
0.052493, -0.2340
0.052654, -0.2355
0.052816, -0.2369
0.052977, -0.2384
0.053139, -0.2398
0.053300, -0.2413
0.053462, -0.2427
0.053623, -0.2442
0.053785, -0.2457
0.053946, -0.2472
0.054108, -0.2486
0.054269, -0.2501
0.054431, -0.2516
0.054592, -0.2531
0.054754, -0.2546
0.054915, -0.2561
0.055077, -0.2576
0.055239, -0.2591
0.055400, -0.2606
0.055562, -0.2622
0.055723, -0.2637
0.055885, -0.2652
0.056046, -0.2668
0.056208, -0.2683
0.056369, -0.2698
0.056531, -0.2714
0.056692, -0.2729
0.056854, -0.2745
0.057015, -0.2761
0.057177, -0.2776
0.057338, -0.2792
0.057500, -0.2808
0.057661, -0.2823
0.057823, -0.2839
0.057984, -0.2855
0.058146, -0.2871
0.058307, -0.2887
0.058469, -0.2903
0.058630, -0.2919
0.058792, -0.2935
0.058953, -0.2951
0.059115, -0.2967
0.059276, -0.2984
0.059438, -0.3000
0.059599, -0.3016
0.059761, -0.3032
0.059922, -0.3049
0.060084, -0.3065
0.060246, -0.3082
0.060407, -0.3098
0.060569, -0.3115
0.060730, -0.3131
0.060892, -0.3148
0.061053, -0.3165
0.061215, -0.3182
0.061376, -0.3198
0.061538, -0.3215
0.061699, -0.3232
0.061861, -0.3249
0.062022, -0.3266
0.062184, -0.3283
0.062345, -0.3300
0.062507, -0.3317
0.062668, -0.3334
0.062830, -0.3351
0.062991, -0.3369
0.063153, -0.3386
0.063314, -0.3403
0.063476, -0.3421
0.063637, -0.3438
0.063799, -0.3456
0.063960, -0.3473
0.064122, -0.3491
0.064283, -0.3508
0.064445, -0.3526
0.064606, -0.3543
0.064768, -0.3561
0.064929, -0.3579
0.065091, -0.3597
0.065253, -0.3615
0.065414, -0.3632
0.065576, -0.3650
0.065737, -0.3668
0.065899, -0.3686
0.066060, -0.3704
0.066222, -0.3723
0.066383, -0.3741
0.066545, -0.3759
0.066706, -0.3777
0.066868, -0.3795
0.067029, -0.3814
0.067191, -0.3832
0.067352, -0.3851
0.067514, -0.3869
0.067675, -0.3888
0.067837, -0.3906
0.067998, -0.3925
0.068160, -0.3943
0.068321, -0.3962
0.068483, -0.3981
0.068644, -0.4000
0.068806, -0.4018
0.068967, -0.4037
0.069129, -0.4056
0.069290, -0.4075
0.069452, -0.4094
0.069613, -0.4113
0.069775, -0.4132
0.069936, -0.4151
0.070098, -0.4171
0.070260, -0.4190
0.070421, -0.4209
0.070583, -0.4228
0.070744, -0.4248
0.070906, -0.4267
0.071067, -0.4286
0.071229, -0.4306
0.071390, -0.4325
0.071552, -0.4345
0.071713, -0.4365
0.071875, -0.4384
0.072036, -0.4404
