r_mm,requested,I_50mm_after_L2,I_75mm_after_L2,I_100mm_after_L2,I_150mm_after_L2,I_200mm_after_L2,I_300mm_after_L2,I_500mm_after_L2,I_750mm_after_L2,I_1000mm_after_L2
3.695061613690273083e-02,9.982915170247389502e-01,9.218404256883020453e-01,9.218450999837789483e-01,9.218497658744094769e-01,9.218590704701083993e-01,9.218683353298050553e-01,9.218867285769439812e-01,9.219228394503180546e-01,9.219662900705758446e-01,9.220071952769499646e-01
1.108518484107081925e-01,9.981876528624527012e-01,9.218682107108303603e-01,9.218728136427548625e-01,9.218774078846758702e-01,9.218865683639599906e-01,9.218956880697981582e-01,9.219137881689581926e-01,9.219493033672642168e-01,9.219919981317504787e-01,9.220321448242558837e-01
1.847530806845136542e-01,9.980774866244371823e-01,9.218959957333586752e-01,9.219005273017307767e-01,9.219050498949421524e-01,9.219140662578114709e-01,9.219230408097913720e-01,9.219408477609725150e-01,9.219757672842104901e-01,9.220177061929252238e-01,9.220570943715618029e-01
2.586543129583191436e-01,9.979606374481028164e-01,9.219237807558871012e-01,9.219282409607065798e-01,9.219326919052085456e-01,9.219415641516630622e-01,9.219503935497844749e-01,9.219679073529867264e-01,9.220022312011566523e-01,9.220434142540998579e-01,9.220820439188677220e-01
3.325555452321246053e-01,9.978367016443379089e-01,9.219515657784154161e-01,9.219559546196824940e-01,9.219603339154749388e-01,9.219690620455146535e-01,9.219777462897775777e-01,9.219949669450009377e-01,9.220286951181029256e-01,9.220691223152744920e-01,9.221069934661736411e-01
4.064567775059300669e-01,9.977052513533224420e-01,9.219793508009437311e-01,9.219836682786584081e-01,9.219879759257412211e-01,9.219965599393661337e-01,9.220050990297707916e-01,9.220220265370152601e-01,9.220551590350490878e-01,9.220948303764492371e-01,9.221319430134795603e-01
4.803580097797355286e-01,9.975658331241950005e-01,9.220071358234720460e-01,9.220113819376343223e-01,9.220156179360076143e-01,9.220240578332177250e-01,9.220324517697638944e-01,9.220490861290294715e-01,9.220816229519953611e-01,9.221205384376238712e-01,9.221568925607854794e-01
5.542592420535409348e-01,9.974179664146303192e-01,9.220702598079724144e-01,9.220743989643218619e-01,9.220785278641556726e-01,9.220867531903451653e-01,9.220949321538685073e-01,9.221111358484096465e-01,9.221428119184839067e-01,9.221806636428870885e-01,9.222159846247335313e-01
6.281604743273464520e-01,9.972611420062506005e-01,9.221333837924727828e-01,9.221374159910094015e-01,9.221414377923037309e-01,9.221494485474726055e-01,9.221574125379731202e-01,9.221731855677897105e-01,9.222040008849723414e-01,9.222407888481503058e-01,9.222750766886815832e-01
7.020617066011518581e-01,9.970948203316247760e-01,9.221965077769731511e-01,9.222004330176969411e-01,9.222043477204517892e-01,9.222121439046000457e-01,9.222198929220777330e-01,9.222352352871698855e-01,9.222651898514608870e-01,9.223009140534135231e-01,9.223341687526296351e-01
7.759629388749573753e-01,9.969184297084706659e-01,9.223070485569394572e-01,9.223108852291881377e-01,9.223147120102228591e-01,9.223223343593291990e-01,9.223299123399705257e-01,9.223449215954664382e-01,9.223742501172071950e-01,9.224092806380824738e-01,9.224419611258080076e-01
8.498641711487627814e-01,9.967313644765233294e-01,9.224175893369056523e-01,9.224213374406793342e-01,9.224250762999939290e-01,9.224325248140582412e-01,9.224399317578633184e-01,9.224546079037629909e-01,9.224833103829533920e-01,9.225176472227513136e-01,9.225497534989862691e-01
9.237654034225684097e-01,9.965329830323954585e-01,9.225281301168719583e-01,9.225317896521705308e-01,9.225354405897649990e-01,9.225427152687873944e-01,9.225499511757561111e-01,9.225642942120595436e-01,9.225923706486997000e-01,9.226260138074202644e-01,9.226575458721646417e-01
9.976666356963737048e-01,9.963226057576181072e-01,9.226386708968381534e-01,9.226422418636617273e-01,9.226458048795360689e-01,9.226529057235164366e-01,9.226599705936489038e-01,9.226739805203560962e-01,9.227014309144458970e-01,9.227343803920891041e-01,9.227653382453429032e-01
1.071567867970179000e+00,9.960995128349312555e-01,9.228972911248984889e-01,9.229007959296433583e-01,9.229042951987660448e-01,9.229112758837008101e-01,9.229182305603735870e-01,9.229320508815459512e-01,9.229592515380946605e-01,9.229921516385721780e-01,9.230233827400724511e-01
1.145469100243984739e+00,9.958629419477796896e-01,9.231240999680545567e-01,9.231276465753699423e-01,9.231311904052876827e-01,9.231382685314086789e-01,9.231453318393409990e-01,9.231594034188622677e-01,9.231872457424256107e-01,9.232212187695104655e-01,9.232538386083051218e-01
1.219370332517790256e+00,9.956120858578760835e-01,9.233509088112105134e-01,9.233544972210965263e-01,9.233580856118092095e-01,9.233652611791165477e-01,9.233724331183084111e-01,9.233867559561785843e-01,9.234152399467564498e-01,9.234502859004487529e-01,9.234842944765376815e-01
1.293271564791595774e+00,9.953460898556143466e-01,9.235777176543665812e-01,9.235813478668231102e-01,9.235849808183308474e-01,9.235922538268244164e-01,9.235995343972758231e-01,9.236141084934949008e-01,9.236432341510874000e-01,9.236793530313870404e-01,9.237147503447703523e-01
1.367172797065400847e+00,9.950640490780643388e-01,9.238045264975225379e-01,9.238081985125496942e-01,9.238118760248523742e-01,9.238192464745322852e-01,9.238266356762432352e-01,9.238414610308112174e-01,9.238712283554182392e-01,9.239084201623253279e-01,9.239452062130029120e-01
1.441074029339206586e+00,9.947650056892534121e-01,9.239707550956914872e-01,9.239745212785925865e-01,9.239782956244355638e-01,9.239858677732435410e-01,9.239934694156999306e-01,9.240087520696094181e-01,9.240395650074630929e-01,9.240783134375996077e-01,9.241169392353945078e-01
1.514975261613012103e+00,9.944479459174453417e-01,9.241369836938604365e-01,9.241408440446354788e-01,9.241447152240187535e-01,9.241524890719547969e-01,9.241603031551566261e-01,9.241760431084076188e-01,9.242079016595079466e-01,9.242482067128738876e-01,9.242886722577861036e-01
1.588876493886817620e+00,9.941117969441685132e-01,9.245070737538725325e-01,9.245111088981525782e-01,9.245151594642702086e-01,9.245233059299931000e-01,9.245315111007306186e-01,9.245480888671999686e-01,9.245818468413129487e-01,9.246249497653038496e-01,9.246686896184210802e-01
1.662777726160622693e+00,9.937554236398391527e-01,9.249159491684796341e-01,9.249202085536204487e-01,9.249244882743079543e-01,9.249331077861061567e-01,9.249418056577592973e-01,9.249594277965066391e-01,9.249955104773933678e-01,9.250419617096131697e-01,9.250895412019959352e-01
1.736678958434428433e+00,9.933776251409628388e-01,9.253248245830866248e-01,9.253293082090884303e-01,9.253338170843457000e-01,9.253429096422193245e-01,9.253521002147880870e-01,9.253707667258134206e-01,9.254091741134738980e-01,9.254589736539226008e-01,9.255103927855707902e-01
1.810580190708233950e+00,9.929771312640921499e-01,9.257336999976937264e-01,9.257384078645563008e-01,9.257431458943834457e-01,9.257527114983323813e-01,9.257623947718167656e-01,9.257821056551200911e-01,9.258228377495543171e-01,9.258759855982319209e-01,9.259312443691456451e-01
1.884481422982039467e+00,9.925525987519955295e-01,9.264148997754690917e-01,9.264200476957804575e-01,9.264252339531759972e-01,9.264357204993669548e-01,9.264463573018679732e-01,9.264680726745648798e-01,9.265132009870558072e-01,9.265725622147646945e-01,9.266348192842963627e-01
1.958382655255844540e+00,9.921026073478329543e-01,9.270960995532444571e-01,9.271016875270046143e-01,9.271073220119685487e-01,9.271187295004015283e-01,9.271303198319191807e-01,9.271540396940096684e-01,9.272035642245572973e-01,9.272691388312974681e-01,9.273383941994470803e-01
2.032283887529650279e+00,9.916256556935663102e-01,9.275943852257233502e-01,9.276002254005986103e-01,9.276061164702307238e-01,9.276180502517146209e-01,9.276301842947995979e-01,9.276550435827779495e-01,9.277070530319875274e-01,9.277761135242998947e-01,9.278492669407611970e-01
2.106185119803455574e+00,9.911201570493797242e-01,9.281225448705328063e-01,9.281285683408810883e-01,9.281346458268604493e-01,9.281469617830175878e-01,9.281594904400307655e-01,9.281851760390562589e-01,9.282389849524470549e-01,9.283105656399488481e-01,9.283865336179761840e-01
2.180086352077260869e+00,9.905844348315259174e-01,9.291688351288636127e-01,9.291754057372489939e-01,9.291820392628080683e-01,9.291954939315676398e-01,9.292091966117528301e-01,9.292373354877767611e-01,9.292964662348053295e-01,9.293754598413013213e-01,9.294596579844371931e-01
2.253987584351066609e+00,9.900167179668045714e-01,9.299322599634091135e-01,9.299391105617381692e-01,9.299460282200221473e-01,9.299600635134838145e-01,9.299743631991101989e-01,9.300037447020866876e-01,9.300655512567028715e-01,9.301482346693209502e-01,9.302364871575097283e-01
2.327888816624871904e+00,9.894151360628050673e-01,9.306956847979546144e-01,9.307028153862274555e-01,9.307100171772362263e-01,9.307246330953998781e-01,9.307395297864676786e-01,9.307701539163965032e-01,9.308346362786005246e-01,9.309210094973404681e-01,9.310133163305823745e-01
2.401790048898677643e+00,9.887777143941339775e-01,9.314591096325002262e-01,9.314665202107166309e-01,9.314740061344504163e-01,9.314892026773160527e-01,9.315046963738250474e-01,9.315365631307064298e-01,9.316037213004980666e-01,9.316937843253600970e-01,9.317901455036549097e-01
2.475691281172483382e+00,9.881023687061262217e-01,9.322225344670457270e-01,9.322302250352059172e-01,9.322379950916644953e-01,9.322537722592322273e-01,9.322698629611825272e-01,9.323029723450162454e-01,9.323728063223957196e-01,9.324665591533797260e-01,9.325669746767275559e-01
2.549592513446288677e+00,9.873868998390201712e-01,9.332956136426541205e-01,9.333035185005223999e-01,9.333115055000636984e-01,9.333277244478799251e-01,9.333442673238533382e-01,9.333783116307184935e-01,9.334501332261156969e-01,9.335465770256636819e-01,9.336498907965490313e-01
2.623493745720093973e+00,9.866289881772736248e-01,9.343686928182624030e-01,9.343768119658388827e-01,9.343850159084627904e-01,9.344016766365275117e-01,9.344186716865241493e-01,9.344536509164207416e-01,9.345274601298356743e-01,9.346265948979475269e-01,9.347328069163705067e-01
2.697394977993899712e+00,9.858261879306667863e-01,9.352803000732352601e-01,9.352884690975562521e-01,9.352967231375766133e-01,9.353134846925010848e-01,9.353305813415699888e-01,9.353657657207818943e-01,9.354399904309200764e-01,9.355396459867728609e-01,9.356463672366048812e-01
2.771296210267704563e+00,9.849759212560614818e-01,9.361919073282081172e-01,9.362001262292736214e-01,9.362084303666904361e-01,9.362252927484746579e-01,9.362424909966158282e-01,9.362778805251430470e-01,9.363525207320044785e-01,9.364526970755981949e-01,9.365599275568392557e-01
2.845197442541510302e+00,9.840754722312289315e-01,9.373922723705785387e-01,9.374005271746401746e-01,9.374088668034890048e-01,9.374257988320309209e-01,9.374430648182006109e-01,9.374785835771994869e-01,9.375534528958837654e-01,9.376538469606749970e-01,9.377611975517776699e-01
2.919098674815315597e+00,9.831219806950336482e-01,9.385740312712442801e-01,9.385822884147358991e-01,9.385906291672654334e-01,9.386075597643070978e-01,9.386248192647848043e-01,9.386603092550238614e-01,9.387350533037661648e-01,9.388351490997912663e-01,9.389420216392245777e-01
2.992999907089121336e+00,9.821124359714915597e-01,9.391677597570460279e-01,9.391759438830344919e-01,9.391842101274310295e-01,9.392009872120450353e-01,9.392180871685162913e-01,9.392532398447492881e-01,9.393272353066777214e-01,9.394262531848678321e-01,9.395318843161533096e-01
3.066901139362927076e+00,9.810436704988590995e-01,9.401828428105614144e-01,9.401908369168503476e-01,9.401989097136711493e-01,9.402152895820532486e-01,9.402319785428372434e-01,9.402662676934205876e-01,9.403383686373349981e-01,9.404346999879367175e-01,9.405372836324525920e-01
3.140802371636732371e+00,9.799123533889696480e-01,9.411979258640768009e-01,9.412057299506662034e-01,9.412136092999112691e-01,9.412295919520614618e-01,9.412458699171581955e-01,9.412792955420918872e-01,9.413495019679922748e-01,9.414431467910056028e-01,9.415426829487518745e-01
3.214703603910537666e+00,9.787149839465589807e-01,9.424251500539422288e-01,9.424326178381714492e-01,9.424401551271719413e-01,9.424554363846460170e-01,9.424709898921812545e-01,9.425028972972411268e-01,9.425697892271691636e-01,9.426587667693837602e-01,9.427530487568684947e-01
3.288604836184343405e+00,9.774478851833379167e-01,9.436523742438076567e-01,9.436595057256766950e-01,9.436667009544326135e-01,9.436812808172305722e-01,9.436961098672043136e-01,9.437264990523903663e-01,9.437900764863460523e-01,9.438743867477619176e-01,9.439634145649851149e-01
3.362506068458148256e+00,9.761071973671219260e-01,9.446493169487926167e-01,9.446560604796943039e-01,9.446628614678518332e-01,9.446766340050309907e-01,9.446906306276225962e-01,9.447192798130119584e-01,9.447790775682003428e-01,9.448581045565465075e-01,9.449412334941138525e-01
3.436407300731953995e+00,9.746888716524244600e-01,9.456462596537775767e-01,9.456526152337119129e-01,9.456590219812710529e-01,9.456719871928314092e-01,9.456851513880408788e-01,9.457120605736335506e-01,9.457680786500546333e-01,9.458418223653310974e-01,9.459190524232425901e-01
3.510308533005759291e+00,9.731886638456189731e-01,9.461151874597106826e-01,9.461213471714463585e-01,9.461275552544302636e-01,9.461401147150377833e-01,9.461528619568019272e-01,9.461789036770061889e-01,9.462330531010275658e-01,9.463042118423766746e-01,9.463785827880926149e-01
3.584209765279565030e+00,9.716021283650715379e-01,9.472218502665441520e-01,9.472274891416461173e-01,9.472331687579451653e-01,9.472446484427283764e-01,9.472562855285211469e-01,9.472800160877721254e-01,9.473291825524867704e-01,9.473934450571483978e-01,9.474601923044669860e-01
3.658110997553370769e+00,9.699246124645746203e-01,9.482758592120212882e-01,9.482809165061532042e-01,9.482860065430864793e-01,9.482962831526764447e-01,9.483066854073811669e-01,9.483278517091866533e-01,9.483715163922372682e-01,9.484282186522303704e-01,9.484866741884028229e-01
3.732012229827176064e+00,9.681512507969964876e-01,9.493298681574984244e-01,9.493343438706602910e-01,9.493388443282277933e-01,9.493479178626245130e-01,9.493570852862411869e-01,9.493756873306011812e-01,9.494138502319877659e-01,9.494629922473123429e-01,9.495131560723386599e-01
3.805913462100981359e+00,9.662769604042668048e-01,9.498026366192924286e-01,9.498068397964747334e-01,9.498110645347459524e-01,9.498195771288404643e-01,9.498281710461622396e-01,9.498455888544832248e-01,9.498812379196053257e-01,9.499269770459193296e-01,9.499734679448916808e-01
3.879814694374786654e+00,9.642964362296884140e-01,9.502754050810864328e-01,9.502793357222891757e-01,9.502832847412641115e-01,9.502912363950564156e-01,9.502992568060832923e-01,9.503154903783652685e-01,9.503486256072228855e-01,9.503909618445263163e-01,9.504337798174447016e-01
3.953715926648591950e+00,9.622041472590314726e-01,9.512411875180873944e-01,9.512443917877447808e-01,9.512476062484666040e-01,9.512540644238101084e-01,9.512605592122624909e-01,9.512736468085407626e-01,9.513001239936784703e-01,9.513334930145361801e-01,9.513666946433275706e-01
4.027617158922397245e+00,9.599943334079249491e-01,9.518620765517944449e-01,9.518648166686460854e-01,9.518675632484594473e-01,9.518730746271515386e-01,9.518786082071599708e-01,9.518897316313292833e-01,9.519121249538962104e-01,9.519401345749223253e-01,9.519677535384403200e-01
4.101518391196202984e+00,9.576610032846282206e-01,9.521550931331344003e-01,9.521576364057698916e-01,9.521601863249002928e-01,9.521653050737851620e-01,9.521704471725545016e-01,9.521807922335607799e-01,9.522016558980563872e-01,9.522278325692881129e-01,9.522537518912332910e-01
4.175419623470008723e+00,9.551979329692807941e-01,9.524481097144743558e-01,9.524504561428935867e-01,9.524528094013410273e-01,9.524575355204186744e-01,9.524622861379489214e-01,9.524718528357922764e-01,9.524911868422165639e-01,9.525155305636540115e-01,9.525397502440261510e-01
4.249320855743814462e+00,9.525986659630640840e-01,9.525532888464347536e-01,9.525555926994080380e-01,9.525579049148298338e-01,9.525625536101500757e-01,9.525672331557117900e-01,9.525766774238348944e-01,9.525958503759284213e-01,9.526201664828271021e-01,9.526445775870548971e-01
4.323222088017620202e+00,9.498565144732370458e-01,9.525655977007563280e-01,9.525678589278427921e-01,9.525701329595648303e-01,9.525747187839037622e-01,9.525793537344053874e-01,9.525887651146316415e-01,9.526081083492865531e-01,9.526331147176332337e-01,9.526588010818368701e-01
4.397123320291425053e+00,9.469645622125378859e-01,9.525779065550779023e-01,9.525801251562775462e-01,9.525823610042998268e-01,9.525868839576574487e-01,9.525914743130989848e-01,9.526008528054283886e-01,9.526203663226446849e-01,9.526460629524393653e-01,9.526730245766188432e-01
4.471024552565229904e+00,9.439156689037682124e-01,9.524400231221221702e-01,9.524422370374523439e-01,9.524444708372072910e-01,9.524489976989679585e-01,9.524536028196758375e-01,9.524630439285625139e-01,9.524828202306873104e-01,9.525091194423822571e-01,9.525370131102638416e-01
4.544925784839035643e+00,9.407024766922205128e-01,9.521157860997853106e-01,9.521183169704521276e-01,9.521208795527975610e-01,9.521260995796527737e-01,9.521314455558460565e-01,9.521425127154827805e-01,9.521661271664392245e-01,9.521983505877571474e-01,9.522334622111845448e-01
4.618827017112841382e+00,9.373174186796633389e-01,9.514535043412735149e-01,9.514565348243735343e-01,9.514596130250225769e-01,9.514659124081106256e-01,9.514724020838229990e-01,9.514859505647450533e-01,9.515153100803814823e-01,9.515562023522647905e-01,9.516016651437766427e-01
4.692728249386647121e+00,9.337527298034913326e-01,9.512077989967622216e-01,9.512109256656131606e-01,9.512141030990122204e-01,9.512206101218794174e-01,9.512273196886837923e-01,9.512413448391043858e-01,9.512718062485703285e-01,9.513143573065931946e-01,9.513617956850310975e-01
4.766629481660452861e+00,9.300004602929481390e-01,9.501838544049832080e-01,9.501876581001210686e-01,9.501915303285255465e-01,9.501994802120397043e-01,9.502077036363681950e-01,9.502249692928543823e-01,9.502627609812677179e-01,9.503160597648978580e-01,9.503759917660872247e-01
4.840530713934257712e+00,9.260524919405671573e-01,9.491599098132041945e-01,9.491643905346288657e-01,9.491689575580389837e-01,9.491783503022001023e-01,9.491880875840527088e-01,9.492085937466043788e-01,9.492537157139651072e-01,9.493177622232025215e-01,9.493901878471433520e-01
4.914431946208063451e+00,9.219005574305727535e-01,9.479945539317583547e-01,9.479996541059761972e-01,9.480048550841303490e-01,9.480155591689992667e-01,9.480266655125575426e-01,9.480500821311779180e-01,9.481017074103619269e-01,9.481751394072773786e-01,9.482583072277777081e-01
4.988333178481869190e+00,9.175362629663673664e-01,9.464402888421545867e-01,9.464461597373627910e-01,9.464521485253811761e-01,9.464644793185073013e-01,9.464772801711092143e-01,9.465042876220053358e-01,9.465638896533334901e-01,9.466487426483780609e-01,9.467448753694327479e-01
5.062234410755674929e+00,9.129511144357135288e-01,9.455555848519665574e-01,9.455619206345176053e-01,9.455683848984648421e-01,9.455816982022469119e-01,9.455955234337878323e-01,9.456247038672103145e-01,9.456891389292039207e-01,9.457809134101751170e-01,9.458848918754938495e-01
5.136135643029479780e+00,9.081365473440885516e-01,9.439689102796648967e-01,9.439758626146428355e-01,9.439829556435981317e-01,9.439975629856220962e-01,9.440127304722452095e-01,9.440447381995369369e-01,9.441153842901002236e-01,9.442159173170949771e-01,9.443296810278098974e-01
5.210036875303284631e+00,9.030839607332076246e-01,9.417438527234125445e-01,9.417515937009000027e-01,9.417594915190505844e-01,9.417757564237376755e-01,9.417926448050621957e-01,9.418282808946685236e-01,9.419069041368288708e-01,9.420186748068744009e-01,9.421449478190027094e-01
5.283938107577090371e+00,8.977847552820711341e-01,9.397887030989906521e-01,9.397969476989160853e-01,9.398053572672608880e-01,9.398226698030214266e-01,9.398406374870944546e-01,9.398785246831806717e-01,9.399620013093041848e-01,9.400804356466636591e-01,9.402139370025395237e-01
5.357839339850896110e+00,8.922303757613205821e-01,9.391549502601677091e-01,9.391633415932574280e-01,9.391719008411598679e-01,9.391895214305634454e-01,9.392078085670050314e-01,9.392463678388054404e-01,9.393313134328451497e-01,9.394517926783265693e-01,9.395875311254400231e-01
5.431740572124701849e+00,8.864123579774108030e-01,9.357151530230632952e-01,9.357241284159935057e-01,9.357332786075810427e-01,9.357521012899260304e-01,9.357716166273254421e-01,9.358127064658580130e-01,9.359029787354984364e-01,9.360305128877163261e-01,9.361735856299778780e-01
5.505641804398507588e+00,8.803223803003764614e-01,9.330983008139703827e-01,9.331075095217187254e-01,9.331168948670409691e-01,9.331361929862147520e-01,9.331561899605382848e-01,9.331982584905880174e-01,9.332905259751491656e-01,9.334205483636743850e-01,9.335659831272451470e-01
5.579543036672312439e+00,8.739523198171716967e-01,9.305629556319559015e-01,9.305722113061563050e-01,9.305816420401384903e-01,9.306010258651440381e-01,9.306211012468423860e-01,9.306633020436976267e-01,9.307557155748185096e-01,9.308856339838627036e-01,9.310305472451858577e-01
5.653444268946117290e+00,8.672943130911209275e-01,9.287309510762042919e-01,9.287402243445157524e-01,9.287496696708643640e-01,9.287690735334024339e-01,9.287891564335097883e-01,9.288313331355979585e-01,9.289235305299570200e-01,9.290528267163473686e-01,9.291966687260178048e-01
5.727345501219923030e+00,8.603408214366425888e-01,9.227988399265356634e-01,9.228077137333485780e-01,9.228167430432989704e-01,9.228352647296489408e-01,9.228543978005561144e-01,9.228944681173558706e-01,9.229815972139974178e-01,9.231028638306142398e-01,9.232366570267984685e-01
5.801246733493728769e+00,8.530847005368820124e-01,9.217425892124850861e-01,9.217513903244665130e-01,9.217603431951602033e-01,9.217787007101847507e-01,9.217976544936590244e-01,9.218373202695673285e-01,9.219234526619928261e-01,9.220431097642105556e-01,9.221748711005446353e-01
5.875147965767534508e+00,8.455192741404335965e-01,9.170040332659112892e-01,9.170121266197511778e-01,9.170203508073139220e-01,9.170371880793852792e-01,9.170545376024382689e-01,9.170907419740039757e-01,9.171689340716159267e-01,9.172767409223493429e-01,9.173944915220759722e-01
5.949049198041340247e+00,8.376384114723600671e-01,9.122654773193374922e-01,9.122728629150357316e-01,9.122803584194676407e-01,9.122956754485856967e-01,9.123114207112175134e-01,9.123441636784406228e-01,9.124144154812390273e-01,9.125103720804881302e-01,9.126141119436071980e-01
6.022950430315145098e+00,8.294366078851235224e-01,9.079083655756043925e-01,9.079149447040997245e-01,9.079216119963255949e-01,9.079352074333364442e-01,9.079491443286755725e-01,9.079780107425179381e-01,9.080394749385689579e-01,9.081225244123025675e-01,9.082112523922951652e-01
6.096851662588950838e+00,8.209090681581308058e-01,9.017185038289454724e-01,9.017238985428264186e-01,9.017293497819522941e-01,9.017404184000454848e-01,9.017517025771724093e-01,9.017748876958506798e-01,9.018235005778123536e-01,9.018877451038207482e-01,9.019547094777919938e-01
6.170752894862756577e+00,8.120517917321503631e-01,8.956009057822740260e-01,8.956050367641097409e-01,8.956091936298307132e-01,8.956175819177758513e-01,8.956260642256168580e-01,8.956432840770460757e-01,8.956785429735916182e-01,8.957235018544551508e-01,8.957684224279773844e-01
6.244654127136562316e+00,8.028616590392064767e-01,8.897748284813834507e-01,8.897778440244744624e-01,8.897808575848481505e-01,8.897868760622552609e-01,8.897928783158827182e-01,8.898048107587612776e-01,8.898282120874654311e-01,8.898560313484532580e-01,8.898813797036760898e-01
6.318555359410367167e+00,7.933365179625393449e-01,8.840003801118996307e-01,8.840023043518456802e-01,8.840042009077251350e-01,8.840079087405996461e-01,8.840114988760916503e-01,8.840183064450926054e-01,8.840302839275082647e-01,8.840417145783305841e-01,8.840484781898396704e-01
6.392456591684172906e+00,7.834752693382293076e-01,8.742459878962510755e-01,8.742463391158301622e-01,8.742466240364166197e-01,8.742469935804239034e-01,8.742470935587464131e-01,8.742464725383618518e-01,8.742418553533448655e-01,8.742294673609559696e-01,8.742092884256952301e-01
6.466357823957977757e+00,7.732779502939872707e-01,8.678889810306245067e-01,8.678884429049844584e-01,8.678878172217352471e-01,8.678863023516711905e-01,8.678844346606098270e-01,8.678796335189673528e-01,8.678657148684152389e-01,8.678400584610628243e-01,8.678049814157802189e-01
6.540259056231783497e+00,7.627458141157388294e-01,8.577351119740939112e-01,8.577333908474145119e-01,8.577315549049302490e-01,8.577275386035267957e-01,8.577230630160812552e-01,8.577127340310539694e-01,8.576865659373851258e-01,8.576435347463444714e-01,8.575890637488186030e-01
6.614160288505589236e+00,7.518814052436213480e-01,8.518911403038131880e-01,8.518888552985615092e-01,8.518864429029164853e-01,8.518812363540035903e-01,8.518755213673685489e-01,8.518625693946830779e-01,8.518306027638402611e-01,8.517793653071450422e-01,8.517157491410642933e-01
